video_id,views,likes,dislikes,comment_count
__1SjDrSMik,1256855,134956,1762,8640
__1SjDrSMik,1371619,143142,1869,8868
__1SjDrSMik,1458382,148645,1934,9060
__1SjDrSMik,1514664,152412,1973,9114
__1SjDrSMik,1578774,155500,2005,9271
__1SjDrSMik,1622071,157655,2025,9304
__1SjDrSMik,1652980,159051,2044,9330
__1SjDrSMik,1678051,160283,2052,9367
__1SjDrSMik,1704951,161593,2062,9408
__1SjDrSMik,1732644,162971,2070,9465
__1SjDrSMik,1756055,164029,2075,9534
__1SjDrSMik,1767622,164788,2077,9558
__1SjDrSMik,1807024,166272,2095,9591
_0ovuLsnU1A,1449593,29741,3630,7491
_0ovuLsnU1A,1727956,33147,4177,8505
_0ovuLsnU1A,1922167,35569,4330,8846
_0ovuLsnU1A,2059500,36981,4423,9058
_0ovuLsnU1A,2173974,37984,4490,9309
_0ovuLsnU1A,2296701,39087,4556,9499
_0ovuLsnU1A,2427158,40185,4622,9655
_0ovuLsnU1A,2507969,40658,4659,9763
_0ovuLsnU1A,2554970,40904,4681,9792
_0ovuLsnU1A,2586568,41067,4688,9852
_0ovuLsnU1A,2616220,41295,4695,9863
_0ovuLsnU1A,2639419,41439,4700,9892
_0ovuLsnU1A,2664060,41602,4705,9918
_0ovuLsnU1A,2692592,41801,4708,9933
_0ovuLsnU1A,2718324,41986,4710,9959
_0ovuLsnU1A,2730857,42058,4715,9972
_0ovuLsnU1A,2744407,42173,4718,10017
_0ovuLsnU1A,2757599,42273,4722,10042
_0ovuLsnU1A,2769843,42368,4730,10058
_0ovuLsnU1A,2783945,42482,4730,10081
_0ovuLsnU1A,2802166,42625,4736,10084
_0ovuLsnU1A,2816768,42732,4741,10113
_0ovuLsnU1A,2826497,42824,4742,10123
_0ovuLsnU1A,2838411,42907,4747,10141
_0ovuLsnU1A,2848390,42967,4750,10162
_0ovuLsnU1A,2860323,43073,4753,10172
_0ovuLsnU1A,2873106,43177,4756,10185
_0ovuLsnU1A,2885315,43276,4757,10216
_0ovuLsnU1A,2896425,43356,4763,10221
_0ovuLsnU1A,2903131,43396,4763,10224
_0ovuLsnU1A,2909093,43425,4763,10230
_0ovuLsnU1A,2915453,43479,4766,10236
_0ovuLsnU1A,2921650,43529,4770,10241
_0ovuLsnU1A,2941282,43641,4772,10277
_1mIPOYZzfo,1074936,10097,939,5383
_1mIPOYZzfo,1171174,10633,1002,5087
_1mIPOYZzfo,1422022,11797,1110,5348
_1mIPOYZzfo,1427887,11834,1112,5349
_1mIPOYZzfo,1433797,11868,1115,5354
_1mIPOYZzfo,1438540,11883,1118,5363
_4_V7ZGCYDE,1000063,56030,355,3832
_4_V7ZGCYDE,1013570,56560,357,3877
_4_V7ZGCYDE,1031760,57264,360,3968
_4_V7ZGCYDE,1045263,57780,362,4009
_4_V7ZGCYDE,1055309,58134,365,4085
_4_V7ZGCYDE,1066432,58576,369,4117
_4_V7ZGCYDE,1071444,58706,370,4127
_4_V7ZGCYDE,1077416,58908,370,4167
_4_V7ZGCYDE,1082014,59062,372,4174
_4_V7ZGCYDE,1090243,59306,375,4216
_4_V7ZGCYDE,1092485,59372,375,4227
_4_V7ZGCYDE,1098131,59581,378,4235
_5d-sQ7Fh5M,11511155,1133321,217014,400416
_5d-sQ7Fh5M,13009239,1187560,249564,422621
_5d-sQ7Fh5M,13754992,1207457,280675,432534
_7985zBEM3o,1471975,95001,597,9097
_7985zBEM3o,3190784,148717,1239,12685
