video_id,views,likes,dislikes,comment_count
#NAME?,79333122,781521,68368,34879
ffxKSjUwKdU,78708034,2601283,99150,214067
xTlNMmZKwpA,78580312,1695869,94770,96118
FlsCjmMhFmw,75969469,2251797,1127798,827755
zEf423kYfqk,75925649,1119327,94014,66703
#NAME?,75697961,765637,66867,34433
6ZfuNTqbHE8,74789251,2444952,46172,330710
ffxKSjUwKdU,74523616,2562936,96851,211699
7C2z4GqqS5E,73463137,4924045,156023,1084421
VYOjWnS4cMY,73432600,2478904,124290,263984
#NAME?,72206357,750096,65472,33838
tCXGJQYZ9JA,71560694,1928392,113990,162990
DkeiKbqa02g,71017021,828626,36928,26279
xTlNMmZKwpA,70717211,1625016,90217,93571
zEf423kYfqk,70454777,1091076,91469,65213
M4ZoCHID9GI,70242925,1159461,28246,48345
i0p1bmr0EmE,69295519,1324609,118647,238744
tCXGJQYZ9JA,69089210,1912095,112620,162205
TyHvyGVs42U,68997838,2048049,96281,115819
#NAME?,68480947,733499,63862,33326
ffxKSjUwKdU,68423325,2498112,93200,208124
DkeiKbqa02g,68251318,812428,36123,25847
i0p1bmr0EmE,67478328,1315733,117738,237240
M4ZoCHID9GI,67141103,1139848,27532,47735
6ZfuNTqbHE8,66637636,2331351,41153,316180
aJOTlE1K90k,66529577,2488565,43464,142410
tCXGJQYZ9JA,66492067,1892699,111156,161158
DkeiKbqa02g,65455235,796636,35336,25423
i0p1bmr0EmE,65445707,1305328,116767,235683
7C2z4GqqS5E,65396157,4750245,141966,1040912
xTlNMmZKwpA,65149069,1580402,87081,91657
zEf423kYfqk,65110757,1061369,88994,63665
#NAME?,64594661,714816,62029,32727
tCXGJQYZ9JA,63413342,1867399,109371,160302
i0p1bmr0EmE,63341107,1292578,115421,233818
M4ZoCHID9GI,62934266,1110336,26477,46953
DkeiKbqa02g,62800938,781317,34495,24760
7C2z4GqqS5E,62796390,4470888,119046,905912
ffxKSjUwKdU,61920752,2423625,89279,203893
i0p1bmr0EmE,61394095,1281992,114305,232276
#NAME?,60962220,692723,59965,32006
VYOjWnS4cMY,60776509,2183732,104377,232723
U9BwWKXjVaI,60635812,994986,34165,55653
tCXGJQYZ9JA,60462748,1838256,107383,158947
DkeiKbqa02g,60207478,766198,33699,24363
aJOTlE1K90k,60121378,2392245,40929,138611
vjI4Alon-3Q,59877217,853193,61049,48391
xTlNMmZKwpA,59402059,1533973,83579,89721
zEf423kYfqk,59379786,1026676,86061,62065
i0p1bmr0EmE,59326481,1269261,112989,230471
u9Mv98Gr5pY,59254638,1295189,47162,139879
M4ZoCHID9GI,58899002,1081284,25543,46115
u9Mv98Gr5pY,58530197,1289726,46882,139287
vjI4Alon-3Q,58441951,847535,60535,47961
u9Mv98Gr5pY,58133475,1286467,46731,138914
LsoLEjrDogU,57951412,1919583,73239,133601
u9Mv98Gr5pY,57727090,1283035,46554,138525
U9BwWKXjVaI,57582925,973524,32754,55098
tCXGJQYZ9JA,57542059,1811840,105452,157767
DkeiKbqa02g,57519404,749382,32820,23946
u9Mv98Gr5pY,57388098,1280145,46391,138157
u9Mv98Gr5pY,57131511,1278252,46285,138128
i0p1bmr0EmE,56873730,1252979,111344,229073
u9Mv98Gr5pY,56856579,1275979,46162,137840
TyHvyGVs42U,56843038,1904852,87444,108084
ffxKSjUwKdU,56538628,2350865,85885,200322
u9Mv98Gr5pY,56498503,1273161,46037,137401
6ZfuNTqbHE8,56367282,2157727,34077,303178
BhIEIO0vaBE,56111957,0,0,0
u9Mv98Gr5pY,56005002,1269671,45833,137247
#NAME?,55788936,665927,57511,31105
u9Mv98Gr5pY,55552122,1265757,45632,136872
vjI4Alon-3Q,55473057,834138,59364,47183
u9Mv98Gr5pY,55117340,1262085,45429,136662
BhIEIO0vaBE,55063465,0,0,0
iWZmdoY1aTE,55054077,1378923,33465,67092
ulNswX3If6U,54863912,922355,18037,41774
xTlNMmZKwpA,54680032,1498475,80970,88335
u9Mv98Gr5pY,54578982,1257429,45180,136195
i0p1bmr0EmE,54540167,1237042,109602,228484
U9BwWKXjVaI,54515350,949884,31331,54304
BhIEIO0vaBE,54454945,0,0,0
M4ZoCHID9GI,54271214,1049132,24325,45242
tCXGJQYZ9JA,54230077,1780807,103114,156029
DkeiKbqa02g,54223283,730558,31795,23492
_9YMpuLDnwo,54155921,378111,66632,24679
zEf423kYfqk,54130637,991997,83378,60252
u9Mv98Gr5pY,53822757,1250534,44796,135405
vjI4Alon-3Q,53600140,825537,58366,46207
ulNswX3If6U,53414805,914317,17716,41574
aJOTlE1K90k,53406181,2280497,38247,133627
BhIEIO0vaBE,53183123,0,0,0
u9Mv98Gr5pY,53071887,1243476,44414,134673
FlsCjmMhFmw,52611730,1891799,884944,702769
i0p1bmr0EmE,52556278,1223954,108199,226328
QwievZ1Tx-8,52404970,1565579,32705,194290
#NAME?,52180728,637267,54981,30283
ulNswX3If6U,51834517,904500,17458,41199
vjI4Alon-3Q,51827745,817347,56783,44663
QwievZ1Tx-8,51748905,1560412,32557,193559
iWZmdoY1aTE,51747671,1360087,32822,66466
ffxKSjUwKdU,51658588,2285218,82709,197058
U9BwWKXjVaI,51505943,925537,29763,53329
u9Mv98Gr5pY,51436997,1229059,43653,133144
BhIEIO0vaBE,51243149,0,0,0
QwievZ1Tx-8,51058323,1554726,32338,193001
tCXGJQYZ9JA,50807655,1743672,100344,153489
DkeiKbqa02g,50672793,710138,30610,22988
ulNswX3If6U,50488871,895563,17244,40939
QwievZ1Tx-8,50285464,1548377,32083,192188
i0p1bmr0EmE,50247353,1208535,106579,224247
vjI4Alon-3Q,49959314,808892,56105,44076
M4ZoCHID9GI,49555998,1014815,22924,44413
iWZmdoY1aTE,49353979,1346647,32305,66081
QwievZ1Tx-8,49282723,1539578,31747,191012
u9Mv98Gr5pY,49185287,1204863,42254,130891
rRr1qiJRsXk,48654951,811144,33051,48941
BhIEIO0vaBE,48635732,0,0,0
xTlNMmZKwpA,48619426,1430773,76260,85799
U9BwWKXjVaI,48561560,901148,28257,52448
#NAME?,48431654,609101,52259,29172
zEf423kYfqk,48167481,945508,80021,58258
vjI4Alon-3Q,48108263,800298,55485,43730
QwievZ1Tx-8,48092009,1528259,31253,189832
ulNswX3If6U,48044938,875365,16800,40141
rRr1qiJRsXk,47828624,806679,32721,48690
aJOTlE1K90k,47778378,2178332,36133,128810
i0p1bmr0EmE,47670772,1189844,104660,220436
rRr1qiJRsXk,47533824,804992,32610,48623
tCXGJQYZ9JA,47247436,1706733,97482,151269
iWZmdoY1aTE,47221682,1334682,31777,65777
DkeiKbqa02g,47205441,689363,29340,22664
rRr1qiJRsXk,47188306,803050,32458,48541
VYOjWnS4cMY,47169016,1841540,79717,194822
TyHvyGVs42U,47078714,1763393,78228,101453
rRr1qiJRsXk,46787987,800439,32265,48426
QwievZ1Tx-8,46707200,1513427,30566,188160
vjI4Alon-3Q,46373507,792192,54916,43462
rRr1qiJRsXk,46326684,797115,32037,48378
ulNswX3If6U,46284833,864196,16478,39723
ffxKSjUwKdU,45998071,2195120,78227,192679
l_lblj8Cq0o,45938392,728696,43049,43541
rRr1qiJRsXk,45814959,793462,31808,48174
u9Mv98Gr5pY,45759148,1166894,40086,127694
U9BwWKXjVaI,45705121,875555,26841,51594
_9YMpuLDnwo,45407304,322993,57595,21560
rRr1qiJRsXk,45239078,789475,31507,48218
dfnCAmr569k,45141770,1844959,102849,148768
QwievZ1Tx-8,45064699,1494997,29812,186005
i0p1bmr0EmE,45023440,1168210,102341,216609
M4ZoCHID9GI,45015063,978635,21524,43408
iWZmdoY1aTE,44905716,1320704,31185,65260
BhIEIO0vaBE,44818108,0,0,0
J-dv_DcDD_A,44782227,1320316,33742,85709
rRr1qiJRsXk,44703438,785120,31164,48032
vjI4Alon-3Q,44618777,782677,54296,43042
ulNswX3If6U,44539222,851738,16144,39413
rRr1qiJRsXk,44171797,780895,30791,47829
xTlNMmZKwpA,43964411,1377134,72504,83178
tCXGJQYZ9JA,43738208,1658754,94043,148548
DkeiKbqa02g,43662781,666511,27959,22072
rRr1qiJRsXk,43553343,775542,30350,47514
2Vv-BfVoq4g,43449654,1788960,24548,93428
J-dv_DcDD_A,43434980,1310061,33300,85425
LsoLEjrDogU,43067983,1717175,61567,123379
l_lblj8Cq0o,42895122,704609,41098,42483
QwievZ1Tx-8,42862117,1464998,28312,182514
yDiXQl7grPQ,42799458,564804,33554,180913
rRr1qiJRsXk,42738154,768406,29892,47104
ulNswX3If6U,42700273,837847,15793,38992
yDiXQl7grPQ,42667467,564046,33508,180469
U9BwWKXjVaI,42590240,847657,25478,50754
iWZmdoY1aTE,42555685,1305438,30613,64744
oWw1BcFhk-k,42390420,554509,18381,21650
vjI4Alon-3Q,42318547,770543,53401,42571
i0p1bmr0EmE,42254055,1141237,99547,212019
yDiXQl7grPQ,42240836,561273,33258,179053
zEf423kYfqk,42196567,898748,76594,56006
J-dv_DcDD_A,42166163,1300176,32943,85098
dfnCAmr569k,42019590,1804375,100033,146917
rRr1qiJRsXk,41978366,761125,29512,46747
yDiXQl7grPQ,41889604,558953,33051,178012
n_W54baizX8,41803845,628861,42833,39363
rsEne1ZiQrk,41604561,670203,15663,26743
LryQJ25CnKU,41446137,502519,78095,36974
yDiXQl7grPQ,41402287,555721,32745,176590
n_W54baizX8,41351681,627244,42654,39286
rRzxEiBLQCA,41088994,956937,91898,157207
ulNswX3If6U,41039225,823780,15485,38569
n_W54baizX8,40870858,625510,42487,39146
J-dv_DcDD_A,40838093,1289497,32510,84734
BhIEIO0vaBE,40801423,0,0,0
yDiXQl7grPQ,40757266,551457,32349,174205
1J76wN0TPI4,40714581,778513,30866,76944
oWw1BcFhk-k,40684506,547701,18049,21535
M4ZoCHID9GI,40676479,940382,20116,42405
n_W54baizX8,40399656,623766,42307,39035
ulNswX3If6U,40205404,817504,15348,38424
n_W54baizX8,40161154,622991,42231,38944
QgOXIEhHU1Y,40087764,835657,25283,38305
vjI4Alon-3Q,40076556,756840,52530,41992
1J76wN0TPI4,40071210,773880,30555,76722
iWZmdoY1aTE,40065309,1289164,29932,64315
yDiXQl7grPQ,40018062,547115,31954,172201
QwievZ1Tx-8,39980116,1420086,26136,177598
LryQJ25CnKU,39890531,492152,76771,36570
rsEne1ZiQrk,39814522,661837,15199,26588
tCXGJQYZ9JA,39770100,1592490,89677,145338
U9BwWKXjVaI,39747665,820199,24161,50165
ffxKSjUwKdU,39531190,2068557,72572,185944
1J76wN0TPI4,39391109,768893,30283,76352
7C2z4GqqS5E,39349927,3880071,72707,692305
J-dv_DcDD_A,39318097,1278233,31995,84468
n_W54baizX8,39261165,619436,41857,38782
rRr1qiJRsXk,39208858,742220,28091,45614
u9Mv98Gr5pY,39128403,1077723,35762,119671
2Vv-BfVoq4g,39082222,1721383,23137,90352
DkeiKbqa02g,39067170,639210,26279,21279
yDiXQl7grPQ,38974439,539453,31264,168912
QgOXIEhHU1Y,38968193,825540,24917,37795
aJOTlE1K90k,38912181,1958581,31829,118566
l_lblj8Cq0o,38902263,678809,38876,41543
i0p1bmr0EmE,38873543,1111592,96407,206632
xTlNMmZKwpA,38779629,1310596,67747,80520
1J76wN0TPI4,38687242,762949,29933,76100
n_W54baizX8,38654003,617055,41877,38668
TyHvyGVs42U,38646917,1600400,68558,91398
dfnCAmr569k,38629167,1752162,96637,145171
1J76wN0TPI4,38541828,761367,29852,76068
rRzxEiBLQCA,38363406,934096,88851,153524
rsEne1ZiQrk,38212279,654109,14778,26609
vn9mMeWcgoM,38070298,550348,27824,50935
vjI4Alon-3Q,38015626,744382,51632,41508
n_W54baizX8,38000386,614604,41613,38511
yDiXQl7grPQ,37977628,531656,30604,166069
QgOXIEhHU1Y,37824778,814944,24465,37306
6ZfuNTqbHE8,37736281,1735895,21969,241237
LsoLEjrDogU,37728801,1629944,56304,116255
J-dv_DcDD_A,37698576,1264536,31434,84232
iWZmdoY1aTE,37585798,1271592,29219,63857
QwZT7T-TXT0,37539570,1402578,1674420,1361580
n_W54baizX8,37452720,612770,41419,38377
1J76wN0TPI4,37390594,752854,29246,75584
ulNswX3If6U,37358368,796926,14751,37885
LryQJ25CnKU,37321354,475519,74544,35784
oWw1BcFhk-k,37226832,532231,17372,21298
vn9mMeWcgoM,36971093,544117,27450,78613
U9BwWKXjVaI,36908726,792999,22727,48923
kTlv5_Bs8aw,36857298,2729292,47896,546100
1J76wN0TPI4,36857179,749197,28932,75296
yDiXQl7grPQ,36778884,521872,29776,162654
Wpm07-BGJnE,36759844,834068,89869,93136
rsEne1ZiQrk,36732627,645830,14360,26427
QgOXIEhHU1Y,36650703,804164,24020,36704
zEf423kYfqk,36521376,844992,72646,53453
M4ZoCHID9GI,36488080,903331,18721,41124
n_W54baizX8,36311060,608746,40996,38097
1J76wN0TPI4,36224215,744304,28571,75080
rRr1qiJRsXk,36200760,719462,26170,44326
QgOXIEhHU1Y,36159034,799886,23848,36492
ZJDMWVZta3M,36152111,444698,15434,48348
QwievZ1Tx-8,36112519,1355009,22416,170801
817P8W8-mGE,36101955,998395,22585,50709
J-dv_DcDD_A,36048927,1249507,30855,83797
QwZT7T-TXT0,35983135,1370845,1611043,1321281
vjI4Alon-3Q,35944143,731718,50693,40861
BhIEIO0vaBE,35830721,0,0,0
_9YMpuLDnwo,35696409,260515,48163,21468
ulNswX3If6U,35688137,784549,14402,37559
1J76wN0TPI4,35656711,740157,28309,74800
Wpm07-BGJnE,35579512,824036,88950,92564
l_lblj8Cq0o,35374613,651507,36709,40417
vn9mMeWcgoM,35342725,536651,26918,70272
rsEne1ZiQrk,35334195,637538,13980,26291
tCXGJQYZ9JA,35218973,1506788,84074,140396
VY1eFxgRR-k,35181079,1323550,48192,71176
yDiXQl7grPQ,35147876,507471,28659,158257
iWZmdoY1aTE,35020204,1248218,28432,63205
n_W54baizX8,35014308,604280,40525,37795
dfnCAmr569k,34708457,1681447,91764,141237
LryQJ25CnKU,34651144,459511,72117,35036
Wpm07-BGJnE,34401509,813978,87980,91951
J-dv_DcDD_A,34321198,1233319,30195,83491
YBpdL9hSac4,34269048,440650,19239,48269
U9BwWKXjVaI,34179417,765677,21470,47907
1J76wN0TPI4,34081968,726240,27525,73915
ZJDMWVZta3M,34043133,439742,14616,47894
QwZT7T-TXT0,33998325,1325296,1517520,1281094
QgOXIEhHU1Y,33995272,776170,23032,35466
ulNswX3If6U,33985614,772102,14084,37181
rRzxEiBLQCA,33896316,899117,84383,147922
rsEne1ZiQrk,33839045,628413,13597,26092
kTlv5_Bs8aw,33810576,2674694,46063,539309
n_W54baizX8,33678846,599227,40054,37542
J2HytHu5VBI,33627806,2032463,101678,320194
2Vv-BfVoq4g,33523622,1634124,21082,85067
WS7f5xpGYn8,33420138,821971,165109,81388
vjI4Alon-3Q,33397138,716273,49567,40281
Wpm07-BGJnE,33300948,803588,86975,91334
J2HytHu5VBI,33238890,2021395,100892,318951
yDiXQl7grPQ,32844195,485674,27008,152136
vn9mMeWcgoM,32814882,523448,26141,66601
817P8W8-mGE,32759801,965595,21082,49556
wfWIs2gFTAM,32730338,1199986,26862,67809
YBpdL9hSac4,32729048,437331,18532,48072
J2HytHu5VBI,32707226,2004753,99507,316684
rRr1qiJRsXk,32679759,689917,23886,42689
oWw1BcFhk-k,32657064,513313,15997,20979
1J76wN0TPI4,32582944,711812,26632,53025
xTlNMmZKwpA,32523416,1219765,61459,76612
aJOTlE1K90k,32513514,1780856,27830,109533
J-dv_DcDD_A,32434733,1212362,29414,82834
ulNswX3If6U,32396346,759268,13777,36851
ffxKSjUwKdU,32331284,1890549,64058,176926
M4ZoCHID9GI,32289017,863232,17337,40154
iWZmdoY1aTE,32257754,1220208,27397,62285
rsEne1ZiQrk,32172015,619284,13207,25902
Wpm07-BGJnE,32150721,792876,85845,90580
VY1eFxgRR-k,32101670,1292390,46385,70250
n_W54baizX8,32082218,592782,39447,37191
Bs-Hr-gEJAU,32079687,867305,7688,40794
LryQJ25CnKU,32070272,442770,69618,34261
DkeiKbqa02g,32024760,591702,23611,20227
QgOXIEhHU1Y,32012866,755991,22000,34569
J2HytHu5VBI,32011484,1981942,97891,313621
zEf423kYfqk,31966326,793907,68728,50989
l_lblj8Cq0o,31873225,621537,34351,39214
WS7f5xpGYn8,31725714,806649,161715,80518
LsoLEjrDogU,31680160,1510621,49497,109420
QwZT7T-TXT0,31675237,1275142,1415777,1194249
VYOjWnS4cMY,31648454,1405355,51547,149473
U9BwWKXjVaI,31507015,734108,20142,46972
J2HytHu5VBI,31505838,1967904,96814,311516
YBpdL9hSac4,31072475,433445,17805,47732
Bs-Hr-gEJAU,30887048,860555,7548,40571
ulNswX3If6U,30704372,746369,13459,36461
aEM2kOrrNJI,30599645,455949,42374,25679
kTlv5_Bs8aw,30583293,2611250,43899,529881
QwievZ1Tx-8,30173222,1242227,16901,158039
Bm8rz-llMhE,30061253,510475,15489,12134
J-dv_DcDD_A,30024810,1178057,28354,82283
ZJDMWVZta3M,29964922,431134,12821,47119
TyHvyGVs42U,29943556,1388751,54751,79828
tCXGJQYZ9JA,29921300,1395750,76071,133691
n_W54baizX8,29913059,585088,38614,36722
1J76wN0TPI4,29858402,680611,24496,50778
QgOXIEhHU1Y,29839509,734175,20726,33549
aEM2kOrrNJI,29783055,450936,41940,25548
dfnCAmr569k,29743367,1574076,84550,135825
p8npDG2ulKQ,29741771,2700800,29341,371864
Bs-Hr-gEJAU,29687034,852872,7390,40413
WS7f5xpGYn8,29669903,790568,158437,79160
wfWIs2gFTAM,29656871,1163090,25542,66915
LryQJ25CnKU,29616692,427107,66961,33484
vn9mMeWcgoM,29482615,502660,24722,64761
iWZmdoY1aTE,29470203,1186789,26326,61352
yDiXQl7grPQ,29403688,452725,24542,141646
VY1eFxgRR-k,29352549,1260090,44507,69234
YBpdL9hSac4,29344437,428945,17038,47350
817P8W8-mGE,29337935,933938,19666,47767
vjI4Alon-3Q,29197458,686097,47490,38987
4kDklB6-69Q,29178096,825258,15353,60709
Wpm07-BGJnE,29148798,766550,83166,88852
VRJmcxCrAOA,29090799,1017919,15066,51282
8Y5-GI9hYcI,29075706,304469,14239,10190
U9BwWKXjVaI,28967061,700591,18831,45840
aEM2kOrrNJI,28921705,445594,41476,25432
SM1w9PEQOE8,28860037,1251825,26134,77905
n_W54baizX8,28851415,581378,38243,36509
oWw1BcFhk-k,28827724,496223,14661,20682
J2HytHu5VBI,28737776,1869491,90494,301693
rRr1qiJRsXk,28572753,646399,21140,40610
Bs-Hr-gEJAU,28534342,845670,7229,40296
rRzxEiBLQCA,28475675,850681,78137,137057
l_lblj8Cq0o,28474364,588244,31954,38014
QwZT7T-TXT0,28407744,1204072,1278887,1238817
Bm8rz-llMhE,28352613,499345,14965,12002
aEM2kOrrNJI,28108503,440269,41044,25215
QgOXIEhHU1Y,28091569,718959,19804,32865
M4ZoCHID9GI,28074347,821028,15949,39112
Wpm07-BGJnE,28015706,754116,81638,87902
u9Mv98Gr5pY,27973210,850362,26541,96767
VRJmcxCrAOA,27915532,1001244,14626,50171
zEf423kYfqk,27838880,746492,64689,48508
aEM2kOrrNJI,27794763,438399,40885,25126
Ph54wQG8ynk,27784769,797015,27154,51147
WS7f5xpGYn8,27723596,770906,154663,77785
4kDklB6-69Q,27675156,803168,14795,59864
kTlv5_Bs8aw,27661280,2542861,41121,519092
J-dv_DcDD_A,27652033,1135220,27074,81781
YBpdL9hSac4,27621052,424048,16210,46909
DkeiKbqa02g,27544344,557235,21801,19815
eiDiKwbGfIY,27350528,1025895,17572,40899
Mgfe5tIwOj0,27335197,1260110,32962,55385
LryQJ25CnKU,27292376,412381,64339,32698
ulNswX3If6U,27284917,722839,12534,35995
Bs-Hr-gEJAU,27234892,838758,7060,40209
CX11yw6YL1w,27039153,564493,12675,34246
1J76wN0TPI4,26972785,637211,21687,47493
p8npDG2ulKQ,26912663,2636004,27675,366899
U9BwWKXjVaI,26693315,670319,17611,44481
wfWIs2gFTAM,26662828,1121018,24209,66086
Bm8rz-llMhE,26622559,486011,14468,11763
n_W54baizX8,26610351,571933,37075,35877
iWZmdoY1aTE,26533050,1144749,25180,60387
vjI4Alon-3Q,26457318,664076,45881,38133
n1WpP7iowLc,26448434,911883,53873,127481
aEM2kOrrNJI,26290622,428501,40094,24813
Ph54wQG8ynk,26250616,784725,26636,50871
VY1eFxgRR-k,26232205,1217900,42265,67866
_9YMpuLDnwo,26221058,206111,39209,18104
SM1w9PEQOE8,26144104,1217559,24899,73132
ZJDMWVZta3M,26072307,421289,11173,46619
Wpm07-BGJnE,26068468,734531,79421,86622
4kDklB6-69Q,26063429,778355,14317,58747
VRJmcxCrAOA,26019027,970812,13952,48465
YBpdL9hSac4,25965876,418707,15419,46424
p8npDG2ulKQ,25924568,2613905,27016,363377
J2HytHu5VBI,25809784,1757289,83379,288888
CX11yw6YL1w,25769711,543878,12390,33516
sS0LCjOiIhc,25757299,1036693,10869,213764
WS7f5xpGYn8,25731876,748064,150029,76132
aJOTlE1K90k,25497666,1547821,23176,98455
xTlNMmZKwpA,25430376,1099213,53271,72127
J-dv_DcDD_A,25394405,1099936,25975,81253
Bs-Hr-gEJAU,25316342,828578,6741,40063
i5qOzqD9Rms,25274694,339824,13824,29831
cqg5oc20nxk,25244097,6971,1301,875
5GRyr0noXrw,25235767,493804,49040,42732
cqg5oc20nxk,25228072,6921,1294,873
cqg5oc20nxk,25209508,6875,1283,861
cqg5oc20nxk,25193150,6811,1272,857
CX11yw6YL1w,25184785,534341,12262,33118
l_lblj8Cq0o,25184395,553601,29570,36309
QgOXIEhHU1Y,25170698,685635,17925,31528
zkG4Xpz6t68,25142629,655664,124281,82853
sS0LCjOiIhc,25118028,1029243,10748,211214
VY1eFxgRR-k,25108478,1202474,41427,67453
ffxKSjUwKdU,25066435,1689621,54933,164604
oWw1BcFhk-k,25061716,479914,13310,20464
E5yFcdPAGv0,25016614,911150,30130,78492
aEM2kOrrNJI,24984439,421030,39259,24620
LryQJ25CnKU,24946292,397153,61527,31959
n_W54baizX8,24943437,563936,36201,35363
vn9mMeWcgoM,24853980,466879,22152,67102
FlsCjmMhFmw,24782158,1149185,483924,462103
Bm8rz-llMhE,24741479,471522,13895,11571
Ph54wQG8ynk,24679463,772018,26068,50491
CX11yw6YL1w,24644611,524397,12153,32669
kTlv5_Bs8aw,24628712,2454898,37133,502471
M4ZoCHID9GI,24611139,778725,14833,38149
Mgfe5tIwOj0,24609441,1210588,31214,53610
n1WpP7iowLc,24578152,891282,51977,125444
sS0LCjOiIhc,24455488,1022579,10640,208546
DkeiKbqa02g,24423171,531699,20575,19121
U9BwWKXjVaI,24421448,641546,16517,42949
817P8W8-mGE,24409021,895415,17872,46589
4kDklB6-69Q,24404841,753578,13802,57571
ulNswX3If6U,24344200,699512,11710,35357
oWjxSkJpxFU,24286474,1988746,497847,658130
E5yFcdPAGv0,24280015,903304,29801,77951
tCXGJQYZ9JA,24262331,1249396,64939,121243
p8npDG2ulKQ,24186625,2571889,25690,357887
Wpm07-BGJnE,24180870,714221,77075,85285
20bpjtCbCz0,24152049,429341,5175,28740
5GRyr0noXrw,24117244,475288,47090,41840
CX11yw6YL1w,24036749,512065,12017,32173
9TUBf6l7FBg,24004779,0,0,3
LsoLEjrDogU,23983717,1326424,40736,98177
yvicqMrAHvQ,23932421,4666,374,465
i5qOzqD9Rms,23893991,333897,13217,29180
vjI4Alon-3Q,23861161,641363,44291,37058
i5qOzqD9Rms,23800455,333491,13184,29161
yDiXQl7grPQ,23789688,393106,20520,122338
1J76wN0TPI4,23758250,587326,18799,43728
sS0LCjOiIhc,23746056,1014230,10541,205744
oWjxSkJpxFU,23742391,1970266,487820,647524
YBpdL9hSac4,23739439,409788,14340,45434
zEf423kYfqk,23645351,692631,59800,45901
eiDiKwbGfIY,23634920,984985,16279,39851
i5qOzqD9Rms,23608330,332760,13122,29131
rRzxEiBLQCA,23584659,806411,72397,139142
aEM2kOrrNJI,23577365,412586,38298,24320
9v_rtaye2yY,23575103,548457,29977,55676
iWZmdoY1aTE,23543061,1095526,23886,58948
wfWIs2gFTAM,23524679,1070074,22862,64788
E5yFcdPAGv0,23503231,894107,29379,77250
ju_inUnrLc4,23502572,676467,15993,52432
WS7f5xpGYn8,23493283,720534,144152,73939
SM1w9PEQOE8,23445751,1176797,23511,71679
CX11yw6YL1w,23436536,501091,11913,31755
VRJmcxCrAOA,23417389,926657,13003,46136
OK3GJ0WIQ8s,23416810,2672431,29088,477233
QwZT7T-TXT0,23389090,1082422,1065772,1059651
i5qOzqD9Rms,23388792,331987,13053,29020
Bs-Hr-gEJAU,23229736,816986,6381,39894
dfnCAmr569k,23198594,1404628,72531,125737
oWjxSkJpxFU,23164093,1949284,476337,636100
i5qOzqD9Rms,23142464,330935,12942,28942
Ph54wQG8ynk,23123777,759589,25471,50180
n_W54baizX8,23086814,555137,35216,34707
sS0LCjOiIhc,23080831,1005394,10404,203445
QgOXIEhHU1Y,23015460,661307,16672,30757
zkG4Xpz6t68,22995642,634337,120686,81634
ju_inUnrLc4,22978435,673494,15870,52225
Bm8rz-llMhE,22940755,456908,13340,11431
SCq8n_hOcN8,22918328,409234,35804,36436
4kDklB6-69Q,22907590,730678,13289,56988
i5qOzqD9Rms,22891220,329764,12836,28892
CX11yw6YL1w,22824765,489194,11784,31205
J-dv_DcDD_A,22769424,1059309,24724,79913
g4Hbz2jLxvQ,22713067,450315,21428,45545
E5yFcdPAGv0,22702676,884549,28927,76683
n1WpP7iowLc,22702386,869304,50018,123227
5GRyr0noXrw,22678048,453423,44742,40757
p8npDG2ulKQ,22612931,2533783,24698,353603
DIBw9dSVKdU,22546976,295631,14980,53401
i5qOzqD9Rms,22478282,328367,12635,28777
aEM2kOrrNJI,22427947,406275,37569,24101
ju_inUnrLc4,22421377,670124,15740,52013
oWjxSkJpxFU,22387656,1919981,461659,625002
LryQJ25CnKU,22372028,377093,58503,31122
sS0LCjOiIhc,22331130,996754,10240,199897
E5yFcdPAGv0,22327368,879815,28717,76471
DIBw9dSVKdU,22309004,294664,14857,53299
S9KxqRUcnCU,22233274,848043,15147,37216
CX11yw6YL1w,22188013,475818,11649,30655
ZJDMWVZta3M,22118673,410051,9540,45689
Wpm07-BGJnE,22066407,690143,74307,83863
l_lblj8Cq0o,21993346,520224,27146,35134
